metric,value,threshold,dataset,name,depth,sample,index,recon_steps,recon_min,recon_max,recon_wavelength,recon_resolution,dilation,resolver,min_size,iters
roc,0.049381172646580825,0.009315365831599892,Low Concentration,60k,,,,,,,,,,,,
roc,0.04975621952744093,0.009315365831599892,Low Concentration,60k,,,,,,,,,,,,
roc,0.04975621952744093,0.009405806276566881,Low Concentration,60k,,,,,,,,,,,,
roc,0.05000625078134767,0.009405806276566881,Low Concentration,60k,,,,,,,,,,,,
roc,0.05000625078134767,0.00949624672153387,Low Concentration,60k,,,,,,,,,,,,
roc,0.05013126640830104,0.00949624672153387,Low Concentration,60k,,,,,,,,,,,,
roc,0.05013126640830104,0.00958668716650086,Low Concentration,60k,,,,,,,,,,,,
roc,0.0518814851856482,0.00958668716650086,Low Concentration,60k,,,,,,,,,,,,
roc,0.0518814851856482,0.00967712761146785,Low Concentration,60k,,,,,,,,,,,,
roc,0.052381547693461684,0.00967712761146785,Low Concentration,60k,,,,,,,,,,,,
roc,0.052381547693461684,0.009767568056434838,Low Concentration,60k,,,,,,,,,,,,
roc,0.05425678209776222,0.009767568056434838,Low Concentration,60k,,,,,,,,,,,,
roc,0.05425678209776222,0.009858008501401828,Low Concentration,60k,,,,,,,,,,,,
roc,0.055256907113389174,0.009858008501401828,Low Concentration,60k,,,,,,,,,,,,
roc,0.055256907113389174,0.009948448946368815,Low Concentration,60k,,,,,,,,,,,,
roc,0.05625703212901613,0.009948448946368815,Low Concentration,60k,,,,,,,,,,,,
roc,0.05625703212901613,0.010038889391335805,Low Concentration,60k,,,,,,,,,,,,
roc,0.056882110263782974,0.010038889391335805,Low Concentration,60k,,,,,,,,,,,,
roc,0.056882110263782974,0.010129329836302794,Low Concentration,60k,,,,,,,,,,,,
roc,0.05775721965245656,0.010129329836302794,Low Concentration,60k,,,,,,,,,,,,
roc,0.05775721965245656,0.010219770281269783,Low Concentration,60k,,,,,,,,,,,,
roc,0.058132266533316664,0.010219770281269783,Low Concentration,60k,,,,,,,,,,,,
roc,0.058132266533316664,0.010310210726236772,Low Concentration,60k,,,,,,,,,,,,
roc,0.058507313414176775,0.010310210726236772,Low Concentration,60k,,,,,,,,,,,,
roc,0.058507313414176775,0.010400651171203762,Low Concentration,60k,,,,,,,,,,,,
roc,0.05925740717589699,0.010400651171203762,Low Concentration,60k,,,,,,,,,,,,
roc,0.05925740717589699,0.01058153206113774,Low Concentration,60k,,,,,,,,,,,,
roc,0.05938242280285035,0.01058153206113774,Low Concentration,60k,,,,,,,,,,,,
roc,0.05938242280285035,0.01067197250610473,Low Concentration,60k,,,,,,,,,,,,
roc,0.06038254781847731,0.01067197250610473,Low Concentration,60k,,,,,,,,,,,,
roc,0.06038254781847731,0.010762412951071719,Low Concentration,60k,,,,,,,,,,,,
roc,0.061632704088011005,0.010762412951071719,Low Concentration,60k,,,,,,,,,,,,
roc,0.061632704088011005,0.010852853396038708,Low Concentration,60k,,,,,,,,,,,,
roc,0.0632579072384048,0.010852853396038708,Low Concentration,60k,,,,,,,,,,,,
roc,0.0632579072384048,0.010943293841005697,Low Concentration,60k,,,,,,,,,,,,
roc,0.06363295411926491,0.010943293841005697,Low Concentration,60k,,,,,,,,,,,,
roc,0.06363295411926491,0.011033734285972686,Low Concentration,60k,,,,,,,,,,,,
roc,0.06375796974621828,0.011033734285972686,Low Concentration,60k,,,,,,,,,,,,
roc,0.06375796974621828,0.011124174730939676,Low Concentration,60k,,,,,,,,,,,,
roc,0.06463307913489186,0.011124174730939676,Low Concentration,60k,,,,,,,,,,,,
roc,0.06463307913489186,0.011214615175906665,Low Concentration,60k,,,,,,,,,,,,
roc,0.06625828228528566,0.011214615175906665,Low Concentration,60k,,,,,,,,,,,,
roc,0.06625828228528566,0.011305055620873654,Low Concentration,60k,,,,,,,,,,,,
roc,0.06700837604700588,0.011305055620873654,Low Concentration,60k,,,,,,,,,,,,
roc,0.06700837604700588,0.011395496065840643,Low Concentration,60k,,,,,,,,,,,,
roc,0.06763345418177272,0.011395496065840643,Low Concentration,60k,,,,,,,,,,,,
roc,0.06763345418177272,0.011485936510807633,Low Concentration,60k,,,,,,,,,,,,
roc,0.06838354794349294,0.011485936510807633,Low Concentration,60k,,,,,,,,,,,,
roc,0.06838354794349294,0.011576376955774622,Low Concentration,60k,,,,,,,,,,,,
roc,0.06863357919739968,0.011576376955774622,Low Concentration,60k,,,,,,,,,,,,
roc,0.06863357919739968,0.011666817400741611,Low Concentration,60k,,,,,,,,,,,,
roc,0.06963370421302663,0.011666817400741611,Low Concentration,60k,,,,,,,,,,,,
roc,0.06963370421302663,0.0117572578457086,Low Concentration,60k,,,,,,,,,,,,
roc,0.07000875109388674,0.0117572578457086,Low Concentration,60k,,,,,,,,,,,,
roc,0.07000875109388674,0.01184769829067559,Low Concentration,60k,,,,,,,,,,,,
roc,0.07038379797474684,0.01184769829067559,Low Concentration,60k,,,,,,,,,,,,
roc,0.07038379797474684,0.012028579180609568,Low Concentration,60k,,,,,,,,,,,,
